freq	dB(S(2,1))
5.54999999999999980E9	-1.83023023863305000E-4
5.55001000100010080E9	-1.83041101551036480E-4
5.55002000200020000E9	-1.83059187018199140E-4
5.55003000300030000E9	-1.83077280262864450E-4
5.55004000400040010E9	-1.83095381290818480E-4
5.55005000500050110E9	-1.83113490108811750E-4
5.55006000600060110E9	-1.83131606721666000E-4
5.55007000700070210E9	-1.83149731131310120E-4
5.55008000800080040E9	-1.83167863347387420E-4
5.55009000900090130E9	-1.83186003371826710E-4
5.55010001000100140E9	-1.83204151211378560E-4
5.55011001100110060E9	-1.83222306869900380E-4
5.55012001200120150E9	-1.83240470354142550E-4
5.55013001300130070E9	-1.83258641667962660E-4
5.55014001400140170E9	-1.83276820813289330E-4
5.55015001500150170E9	-1.83295007802659280E-4
5.55016001600160270E9	-1.83313202635108090E-4
5.55017001700170280E9	-1.83331405323172310E-4
5.55018001800180190E9	-1.83349615858172980E-4
5.55019001900190200E9	-1.83367834261325660E-4
5.55020002000200300E9	-1.83386060524915750E-4
5.55021002100210300E9	-1.83404294660515350E-4
5.55022002200220400E9	-1.83422536671981980E-4
5.55023002300230230E9	-1.83440786565101790E-4
5.55024002400240320E9	-1.83459044344696530E-4
5.55025002500250330E9	-1.83477310016552340E-4
5.55026002600260250E9	-1.83495583582597990E-4
5.55027002700270340E9	-1.83513865052477000E-4
5.55028002800280440E9	-1.83532154426189330E-4
5.55029002900290270E9	-1.83550451715307260E-4
5.55030003000300280E9	-1.83568756922724030E-4
5.55031003100310550E9	-1.83587070048439550E-4
5.55032003200320380E9	-1.83605391104025980E-4
5.55033003300330390E9	-1.83623720093340910E-4
5.55034003400340480E9	-1.83642057018312930E-4
5.55035003500350580E9	-1.83660401890514380E-4
5.55036003600360580E9	-1.83678754707052310E-4
5.55037003700370680E9	-1.83697115481427530E-4
5.55038003800380330E9	-1.83715484208818400E-4
5.55039003900390430E9	-1.83733860902725810E-4
5.55040004000400520E9	-1.83752245568935950E-4
5.55041004100410440E9	-1.83770638205520110E-4
5.55042004200420450E9	-1.83789038823086190E-4
5.55043004300430540E9	-1.83807447429349070E-4
5.55044004400440550E9	-1.83825864018522660E-4
5.55045004500450640E9	-1.83844288607965290E-4
5.55046004600460740E9	-1.83862721198641400E-4
5.55047004700470750E9	-1.83881161797301410E-4
5.55048004800480490E9	-1.83899610404909760E-4
5.55049004900490490E9	-1.83918067027252490E-4
5.55050005000500590E9	-1.83936531673008940E-4
5.55051005100510770E9	-1.83955004341214720E-4
5.55052005200520690E9	-1.83973485050192530E-4
5.55053005300530520E9	-1.83991973791263240E-4
5.55054005400540620E9	-1.84010470577927790E-4
5.55055005500550800E9	-1.84028975407293260E-4
5.55056005600560630E9	-1.84047488296717890E-4
5.55057005700570730E9	-1.84066009243308670E-4
5.55058005800580820E9	-1.84084538252851760E-4
5.55059005900590830E9	-1.84103075334026390E-4
5.55060006000600930E9	-1.84121620485868220E-4
5.55061006100610840E9	-1.84140173720913800E-4
5.55062006200620850E9	-1.84158735040127590E-4
5.55063006300630770E9	-1.84177304451224380E-4
5.55064006400640770E9	-1.84195881957097260E-4
5.55065006500650960E9	-1.84214467564496750E-4
5.55066006600660970E9	-1.84233061282102060E-4
5.55067006700670970E9	-1.84251663107020120E-4
5.55068006800680890E9	-1.84270273050823220E-4
5.55069006900690990E9	-1.84288891120261830E-4
5.55070007000700900E9	-1.84307517313407310E-4
5.55071007100711000E9	-1.84326151642796200E-4
5.55072007200721100E9	-1.84344794107464270E-4
5.55073007300731010E9	-1.84363444720912350E-4
5.55074007400741020E9	-1.84382103484104930E-4
5.55075007500751120E9	-1.84400770400899440E-4
5.55076007600761030E9	-1.84419445479974970E-4
5.55077007700771040E9	-1.84438128722296040E-4
5.55078007800780870E9	-1.84456820136541770E-4
5.55079007900790970E9	-1.84475519726569640E-4
5.55080008000801060E9	-1.84494227502987540E-4
5.55081008100811070E9	-1.84512943461938030E-4
5.55082008200821080E9	-1.84531667614993510E-4
5.55083008300831170E9	-1.84550399966975580E-4
5.55084008400841180E9	-1.84569140521741870E-4
5.55085008500851100E9	-1.84587889287971360E-4
5.55086008600861190E9	-1.84606646268557360E-4
5.55087008700871290E9	-1.84625411464464140E-4
5.55088008800881210E9	-1.84644184891121350E-4
5.55089008900891120E9	-1.84662966547564760E-4
5.55090009000901220E9	-1.84681756438616040E-4
5.55091009100911140E9	-1.84700554574883100E-4
5.55092009200921320E9	-1.84719360958294780E-4
5.55093009300931240E9	-1.84738175591744100E-4
5.55094009400941250E9	-1.84756998485839000E-4
5.55095009500951340E9	-1.84775829641543820E-4
5.55096009600961350E9	-1.84794669066573380E-4
