 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 02/21/2022 12:22:55
File Marker Date: 12/16/2021 22:52:12
PPC_Dim_will_be_squared = 59.0
DistFromTL = 20.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 8.0
Box_w = 250.0
Lalu = 1000.0
O_coupler_eff = 4.0
R 49.53430
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
2.600000000000000,-1.096484359e-4,-2.509247724e-3,0.9991784789475,-0.040448159992,0.9991784789474,-0.040448159992,-9.353898633e-5,-2.509899872e-3
2.600200000000000,-1.096653613e-4,-2.509442041e-3,0.9991783524733,-0.040451271320,0.9991783524733,-0.040451271320,-9.355341215e-5,-2.510094339e-3
2.600400000000000,-1.096823028e-4,-2.509636356e-3,0.9991782260176,-0.040454382650,0.9991782260176,-0.040454382650,-9.356786755e-5,-2.510288805e-3
2.600600000000000,-1.096992456e-4,-2.509830671e-3,0.9991780995521,-0.040457493981,0.9991780995521,-0.040457493981,-9.358232409e-5,-2.510483272e-3
2.600800000000000,-1.097161898e-4,-2.510024987e-3,0.9991779730769,-0.040460605312,0.9991779730769,-0.040460605312,-9.359678177e-5,-2.510677739e-3
2.601000000000000,-1.097331352e-4,-2.510219304e-3,0.9991778465919,-0.040463716644,0.9991778465919,-0.040463716644,-9.361124060e-5,-2.510872206e-3
2.601200000000000,-1.097500821e-4,-2.510413621e-3,0.9991777200972,-0.040466827975,0.9991777200972,-0.040466827975,-9.362570056e-5,-2.511066675e-3
2.601400000000000,-1.097670302e-4,-2.510607939e-3,0.9991775935927,-0.040469939307,0.9991775935927,-0.040469939307,-9.364016166e-5,-2.511261143e-3
2.601600000000000,-1.097839797e-4,-2.510802257e-3,0.9991774670784,-0.040473050638,0.9991774670784,-0.040473050638,-9.365462391e-5,-2.511455613e-3
2.601800000000000,-1.098009305e-4,-2.510996576e-3,0.9991773405545,-0.040476161970,0.9991773405545,-0.040476161970,-9.366908729e-5,-2.511650082e-3
2.602000000000000,-1.098178827e-4,-2.511190895e-3,0.9991772140207,-0.040479273303,0.9991772140207,-0.040479273303,-9.368355182e-5,-2.511844553e-3
2.602200000000000,-1.098348362e-4,-2.511385215e-3,0.9991770874772,-0.040482384635,0.9991770874772,-0.040482384635,-9.369801748e-5,-2.512039023e-3
2.602400000000000,-1.098517910e-4,-2.511579535e-3,0.9991769609240,-0.040485495968,0.9991769609240,-0.040485495968,-9.371248429e-5,-2.512233495e-3
2.602600000000000,-1.098687472e-4,-2.511773856e-3,0.9991768343610,-0.040488607301,0.9991768343610,-0.040488607301,-9.372695224e-5,-2.512427967e-3
2.602800000000000,-1.098857047e-4,-2.511968177e-3,0.9991767077882,-0.040491718634,0.9991767077882,-0.040491718634,-9.374142133e-5,-2.512622439e-3
2.603000000000000,-1.099026635e-4,-2.512162499e-3,0.9991765812057,-0.040494829967,0.9991765812057,-0.040494829967,-9.375589155e-5,-2.512816912e-3
2.603200000000000,-1.099196237e-4,-2.512356821e-3,0.9991764546134,-0.040497941301,0.9991764546134,-0.040497941301,-9.377036292e-5,-2.513011386e-3
2.603400000000000,-1.099365852e-4,-2.512551144e-3,0.9991763280114,-0.040501052634,0.9991763280114,-0.040501052634,-9.378483543e-5,-2.513205860e-3
2.603600000000000,-1.099535480e-4,-2.512745467e-3,0.9991762013997,-0.040504163968,0.9991762013997,-0.040504163968,-9.379930908e-5,-2.513400335e-3
2.603800000000000,-1.099705122e-4,-2.512939791e-3,0.9991760747782,-0.040507275302,0.9991760747782,-0.040507275302,-9.381378388e-5,-2.513594810e-3
2.604000000000000,-1.099874777e-4,-2.513134116e-3,0.9991759481469,-0.040510386636,0.9991759481469,-0.040510386636,-9.382825981e-5,-2.513789286e-3
2.604200000000000,-1.100044445e-4,-2.513328441e-3,0.9991758215059,-0.040513497971,0.9991758215059,-0.040513497971,-9.384273688e-5,-2.513983762e-3
2.604400000000000,-1.100214127e-4,-2.513522766e-3,0.9991756948551,-0.040516609306,0.9991756948551,-0.040516609306,-9.385721509e-5,-2.514178239e-3
2.604600000000000,-1.100383822e-4,-2.513717092e-3,0.9991755681946,-0.040519720641,0.9991755681946,-0.040519720641,-9.387169445e-5,-2.514372716e-3
2.604800000000000,-1.100553531e-4,-2.513911419e-3,0.9991754415243,-0.040522831976,0.9991754415243,-0.040522831976,-9.388617494e-5,-2.514567194e-3
2.605000000000000,-1.100723253e-4,-2.514105746e-3,0.9991753148443,-0.040525943311,0.9991753148443,-0.040525943311,-9.390065658e-5,-2.514761673e-3
2.605200000000000,-1.100892988e-4,-2.514300073e-3,0.9991751881545,-0.040529054647,0.9991751881545,-0.040529054647,-9.391513935e-5,-2.514956152e-3
2.605400000000000,-1.101062737e-4,-2.514494402e-3,0.9991750614550,-0.040532165982,0.9991750614550,-0.040532165982,-9.392962327e-5,-2.515150631e-3
