Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.62	-21.7289	-0.03039
6.62	-21.7276	-0.0303994
6.62	-21.7262	-0.0304088
6.62	-21.7249	-0.0304182
6.62	-21.7236	-0.0304276
6.62	-21.7222	-0.030437
6.62	-21.7209	-0.0304464
6.62	-21.7196	-0.0304559
6.62	-21.7182	-0.0304653
6.62	-21.7169	-0.0304747
6.62	-21.7156	-0.0304842
6.62	-21.7142	-0.0304936
6.62	-21.7129	-0.0305031
6.62	-21.7115	-0.0305125
6.62	-21.7102	-0.030522
6.62	-21.7089	-0.0305314
6.62	-21.7075	-0.0305409
6.62001	-21.7062	-0.0305504
6.62001	-21.7049	-0.0305598
6.62001	-21.7035	-0.0305693
6.62001	-21.7022	-0.0305788
6.62001	-21.7009	-0.0305883
6.62001	-21.6995	-0.0305978
6.62001	-21.6982	-0.0306073
6.62001	-21.6968	-0.0306168
6.62001	-21.6955	-0.0306263
6.62001	-21.6942	-0.0306358
6.62001	-21.6928	-0.0306453
6.62001	-21.6915	-0.0306548
6.62001	-21.6901	-0.0306644
6.62001	-21.6888	-0.0306739
6.62001	-21.6875	-0.0306834
6.62001	-21.6861	-0.030693
6.62001	-21.6848	-0.0307025
6.62001	-21.6834	-0.0307121
6.62001	-21.6821	-0.0307216
6.62001	-21.6808	-0.0307312
6.62001	-21.6794	-0.0307407
6.62001	-21.6781	-0.0307503
6.62001	-21.6767	-0.0307599
6.62001	-21.6754	-0.0307694
6.62001	-21.6741	-0.030779
6.62001	-21.6727	-0.0307886
6.62001	-21.6714	-0.0307982
6.62001	-21.67	-0.0308078
6.62001	-21.6687	-0.0308174
6.62001	-21.6673	-0.030827
6.62001	-21.666	-0.0308366
6.62001	-21.6646	-0.0308462
6.62001	-21.6633	-0.0308559
6.62002	-21.662	-0.0308655
6.62002	-21.6606	-0.0308751
6.62002	-21.6593	-0.0308847
6.62002	-21.6579	-0.0308944
6.62002	-21.6566	-0.030904
6.62002	-21.6552	-0.0309137
6.62002	-21.6539	-0.0309233
6.62002	-21.6525	-0.030933
6.62002	-21.6512	-0.0309426
6.62002	-21.6498	-0.0309523
6.62002	-21.6485	-0.030962
6.62002	-21.6472	-0.0309717
6.62002	-21.6458	-0.0309813
6.62002	-21.6445	-0.030991
6.62002	-21.6431	-0.0310007
6.62002	-21.6418	-0.0310104
