Frequency (GHz)	DB(|S(2,1)|) : demo 1
5.754	-0.0113794
5.754	-0.0113852
5.754	-0.011391
5.754	-0.0113969
5.754	-0.0114027
5.754	-0.0114086
5.75401	-0.0114144
5.75401	-0.0114203
5.75401	-0.0114262
5.75401	-0.011432
5.75401	-0.0114379
5.75401	-0.0114438
5.75401	-0.0114497
5.75401	-0.0114556
5.75401	-0.0114615
5.75401	-0.0114674
5.75402	-0.0114733
5.75402	-0.0114792
5.75402	-0.0114851
5.75402	-0.0114911
5.75402	-0.011497
5.75402	-0.0115029
5.75402	-0.0115089
5.75402	-0.0115148
5.75402	-0.0115207
5.75402	-0.0115267
5.75403	-0.0115327
5.75403	-0.0115386
5.75403	-0.0115446
5.75403	-0.0115506
5.75403	-0.0115566
5.75403	-0.0115625
5.75403	-0.0115685
5.75403	-0.0115745
5.75403	-0.0115805
5.75403	-0.0115865
5.75404	-0.0115925
5.75404	-0.0115986
5.75404	-0.0116046
5.75404	-0.0116106
5.75404	-0.0116166
5.75404	-0.0116227
5.75404	-0.0116287
5.75404	-0.0116348
5.75404	-0.0116408
5.75404	-0.0116469
5.75405	-0.011653
5.75405	-0.011659
5.75405	-0.0116651
5.75405	-0.0116712
5.75405	-0.0116773
5.75405	-0.0116834
5.75405	-0.0116894
5.75405	-0.0116956
5.75405	-0.0117017
5.75405	-0.0117078
5.75406	-0.0117139
5.75406	-0.01172
5.75406	-0.0117261
5.75406	-0.0117323
5.75406	-0.0117384
5.75406	-0.0117446
5.75406	-0.0117507
5.75406	-0.0117569
5.75406	-0.011763
5.75406	-0.0117692
5.75407	-0.0117754
5.75407	-0.0117815
5.75407	-0.0117877
5.75407	-0.0117939
5.75407	-0.0118001
5.75407	-0.0118063
5.75407	-0.0118125
5.75407	-0.0118187
5.75407	-0.0118249
5.75407	-0.0118311
5.75408	-0.0118374
5.75408	-0.0118436
5.75408	-0.0118498
5.75408	-0.0118561
5.75408	-0.0118623
5.75408	-0.0118686
5.75408	-0.0118748
5.75408	-0.0118811
5.75408	-0.0118874
5.75408	-0.0118936
5.75409	-0.0118999
5.75409	-0.0119062
5.75409	-0.0119125
5.75409	-0.0119188
5.75409	-0.0119251
5.75409	-0.0119314
5.75409	-0.0119377
5.75409	-0.011944
5.75409	-0.0119504
5.75409	-0.0119567
5.7541	-0.011963
5.7541	-0.0119694
5.7541	-0.0119757
5.7541	-0.0119821
5.7541	-0.0119884
5.7541	-0.0119948
5.7541	-0.0120012
5.7541	-0.0120075
5.7541	-0.0120139
5.7541	-0.0120203
5.75411	-0.0120267
5.75411	-0.0120331
5.75411	-0.0120395
5.75411	-0.0120459
5.75411	-0.0120523
5.75411	-0.0120588
5.75411	-0.0120652
5.75411	-0.0120716
5.75411	-0.0120781
5.75411	-0.0120845
5.75412	-0.012091
5.75412	-0.0120974
5.75412	-0.0121039
5.75412	-0.0121103
5.75412	-0.0121168
5.75412	-0.0121233
5.75412	-0.0121298
5.75412	-0.0121363
5.75412	-0.0121428
5.75412	-0.0121493
5.75413	-0.0121558
5.75413	-0.0121623
5.75413	-0.0121688
5.75413	-0.0121753
5.75413	-0.0121819
5.75413	-0.0121884
5.75413	-0.0121949
5.75413	-0.0122015
5.75413	-0.012208
5.75413	-0.0122146
5.75414	-0.0122212
5.75414	-0.0122277
5.75414	-0.0122343
5.75414	-0.0122409
5.75414	-0.0122475
5.75414	-0.0122541
5.75414	-0.0122607
5.75414	-0.0122673
5.75414	-0.0122739
5.75414	-0.0122805
5.75415	-0.0122872
5.75415	-0.0122938
5.75415	-0.0123004
5.75415	-0.0123071
5.75415	-0.0123137
5.75415	-0.0123204
5.75415	-0.012327
5.75415	-0.0123337
5.75415	-0.0123404
5.75415	-0.0123471
5.75416	-0.0123537
5.75416	-0.0123604
5.75416	-0.0123671
5.75416	-0.0123738
5.75416	-0.0123805
5.75416	-0.0123873
5.75416	-0.012394
5.75416	-0.0124007
5.75416	-0.0124074
5.75417	-0.0124142
5.75417	-0.0124209
5.75417	-0.0124277
5.75417	-0.0124344
5.75417	-0.0124412
5.75417	-0.012448
5.75417	-0.0124547
5.75417	-0.0124615
5.75417	-0.0124683
5.75417	-0.0124751
5.75417	-0.0124819
5.75418	-0.0124887
5.75418	-0.0124955
5.75418	-0.0125024
5.75418	-0.0125092
5.75418	-0.012516
5.75418	-0.0125229
5.75418	-0.0125297
5.75418	-0.0125366
5.75418	-0.0125434
5.75418	-0.0125503
5.75419	-0.0125571
5.75419	-0.012564
5.75419	-0.0125709
5.75419	-0.0125778
5.75419	-0.0125847
5.75419	-0.0125916
5.75419	-0.0125985
5.75419	-0.0126054
5.75419	-0.0126123
5.75419	-0.0126193
5.7542	-0.0126262
5.7542	-0.0126331
5.7542	-0.0126401
5.7542	-0.012647
5.7542	-0.012654
5.7542	-0.0126609
5.7542	-0.0126679
5.7542	-0.0126749
5.7542	-0.0126819
5.7542	-0.0126889
5.75421	-0.0126959
5.75421	-0.0127029
5.75421	-0.0127099
5.75421	-0.0127169
5.75421	-0.0127239
5.75421	-0.0127309
5.75421	-0.012738
5.75421	-0.012745
5.75421	-0.0127521
5.75421	-0.0127591
5.75422	-0.0127662
5.75422	-0.0127733
5.75422	-0.0127803
5.75422	-0.0127874
5.75422	-0.0127945
5.75422	-0.0128016
5.75422	-0.0128087
5.75422	-0.0128158
5.75422	-0.0128229
