Frequency (GHz)	DB(|S(1,1)|) : demo 1	DB(|S(2,1)|) : demo 1
6.248	-20.8424	-0.0371165
6.248	-20.8407	-0.0371317
6.248	-20.8389	-0.0371469
6.248	-20.8371	-0.0371621
6.248	-20.8354	-0.0371774
6.248	-20.8336	-0.0371926
6.248	-20.8318	-0.0372079
6.248	-20.8301	-0.0372231
6.248	-20.8283	-0.0372384
6.248	-20.8265	-0.0372537
6.248	-20.8248	-0.0372689
6.248	-20.823	-0.0372842
6.248	-20.8212	-0.0372995
6.24801	-20.8195	-0.0373149
6.24801	-20.8177	-0.0373302
6.24801	-20.8159	-0.0373455
6.24801	-20.8141	-0.0373609
6.24801	-20.8124	-0.0373762
6.24801	-20.8106	-0.0373916
6.24801	-20.8088	-0.037407
6.24801	-20.8071	-0.0374223
6.24801	-20.8053	-0.0374377
6.24801	-20.8035	-0.0374531
6.24801	-20.8017	-0.0374686
6.24801	-20.8	-0.037484
6.24801	-20.7982	-0.0374994
6.24801	-20.7964	-0.0375149
6.24801	-20.7946	-0.0375303
6.24801	-20.7929	-0.0375458
6.24801	-20.7911	-0.0375613
6.24801	-20.7893	-0.0375768
6.24801	-20.7875	-0.0375923
6.24801	-20.7858	-0.0376078
6.24801	-20.784	-0.0376233
6.24801	-20.7822	-0.0376388
6.24801	-20.7804	-0.0376543
6.24801	-20.7786	-0.0376699
6.24801	-20.7769	-0.0376855
6.24802	-20.7751	-0.037701
6.24802	-20.7733	-0.0377166
6.24802	-20.7715	-0.0377322
6.24802	-20.7697	-0.0377478
6.24802	-20.768	-0.0377634
6.24802	-20.7662	-0.037779
6.24802	-20.7644	-0.0377947
6.24802	-20.7626	-0.0378103
6.24802	-20.7608	-0.0378259
6.24802	-20.7591	-0.0378416
6.24802	-20.7573	-0.0378573
6.24802	-20.7555	-0.037873
6.24802	-20.7537	-0.0378887
6.24802	-20.7519	-0.0379044
6.24802	-20.7501	-0.0379201
6.24802	-20.7483	-0.0379358
6.24802	-20.7466	-0.0379515
6.24802	-20.7448	-0.0379673
6.24802	-20.743	-0.037983
6.24802	-20.7412	-0.0379988
6.24802	-20.7394	-0.0380146
6.24802	-20.7376	-0.0380303
6.24802	-20.7358	-0.0380461
6.24802	-20.734	-0.038062
6.24802	-20.7322	-0.0380778
6.24803	-20.7305	-0.0380936
6.24803	-20.7287	-0.0381094
6.24803	-20.7269	-0.0381253
6.24803	-20.7251	-0.0381411
6.24803	-20.7233	-0.038157
6.24803	-20.7215	-0.0381729
6.24803	-20.7197	-0.0381888
6.24803	-20.7179	-0.0382047
6.24803	-20.7161	-0.0382206
6.24803	-20.7143	-0.0382365
6.24803	-20.7125	-0.0382525
6.24803	-20.7107	-0.0382684
6.24803	-20.7089	-0.0382844
6.24803	-20.7071	-0.0383003
6.24803	-20.7053	-0.0383163
6.24803	-20.7035	-0.0383323
6.24803	-20.7017	-0.0383483
6.24803	-20.6999	-0.0383643
6.24803	-20.6981	-0.0383803
6.24803	-20.6963	-0.0383963
6.24803	-20.6945	-0.0384124
6.24803	-20.6927	-0.0384284
6.24803	-20.6909	-0.0384445
6.24803	-20.6891	-0.0384606
6.24803	-20.6873	-0.0384766
6.24804	-20.6855	-0.0384927
6.24804	-20.6837	-0.0385088
6.24804	-20.6819	-0.0385249
6.24804	-20.6801	-0.0385411
6.24804	-20.6783	-0.0385572
6.24804	-20.6765	-0.0385734
6.24804	-20.6747	-0.0385895
6.24804	-20.6729	-0.0386057
6.24804	-20.6711	-0.0386219
6.24804	-20.6693	-0.038638
6.24804	-20.6675	-0.0386542
6.24804	-20.6657	-0.0386705
6.24804	-20.6639	-0.0386867
6.24804	-20.6621	-0.0387029
6.24804	-20.6603	-0.0387192
6.24804	-20.6585	-0.0387354
6.24804	-20.6567	-0.0387517
6.24804	-20.6548	-0.0387679
6.24804	-20.653	-0.0387842
6.24804	-20.6512	-0.0388005
6.24804	-20.6494	-0.0388168
6.24804	-20.6476	-0.0388332
6.24804	-20.6458	-0.0388495
6.24804	-20.644	-0.0388658
6.24804	-20.6422	-0.0388822
6.24805	-20.6404	-0.0388986
6.24805	-20.6385	-0.0389149
6.24805	-20.6367	-0.0389313
6.24805	-20.6349	-0.0389477
6.24805	-20.6331	-0.0389641
6.24805	-20.6313	-0.0389805
6.24805	-20.6295	-0.038997
6.24805	-20.6277	-0.0390134
6.24805	-20.6258	-0.0390299
6.24805	-20.624	-0.0390463
6.24805	-20.6222	-0.0390628
6.24805	-20.6204	-0.0390793
6.24805	-20.6186	-0.0390958
6.24805	-20.6167	-0.0391123
6.24805	-20.6149	-0.0391288
6.24805	-20.6131	-0.0391453
6.24805	-20.6113	-0.0391619
6.24805	-20.6095	-0.0391784
6.24805	-20.6076	-0.039195
6.24805	-20.6058	-0.0392116
6.24805	-20.604	-0.0392281
6.24805	-20.6022	-0.0392447
6.24805	-20.6004	-0.0392613
6.24805	-20.5985	-0.039278
6.24805	-20.5967	-0.0392946
6.24806	-20.5949	-0.0393112
6.24806	-20.5931	-0.0393279
6.24806	-20.5912	-0.0393445
6.24806	-20.5894	-0.0393612
6.24806	-20.5876	-0.0393779
6.24806	-20.5858	-0.0393946
6.24806	-20.5839	-0.0394113
6.24806	-20.5821	-0.039428
6.24806	-20.5803	-0.0394448
6.24806	-20.5784	-0.0394615
6.24806	-20.5766	-0.0394783
6.24806	-20.5748	-0.039495
6.24806	-20.573	-0.0395118
6.24806	-20.5711	-0.0395286
6.24806	-20.5693	-0.0395454
6.24806	-20.5675	-0.0395622
6.24806	-20.5656	-0.039579
6.24806	-20.5638	-0.0395959
6.24806	-20.562	-0.0396127
6.24806	-20.5601	-0.0396296
6.24806	-20.5583	-0.0396464
6.24806	-20.5565	-0.0396633
6.24806	-20.5546	-0.0396802
6.24806	-20.5528	-0.0396971
6.24806	-20.551	-0.039714
6.24807	-20.5491	-0.0397309
6.24807	-20.5473	-0.0397479
6.24807	-20.5455	-0.0397648
6.24807	-20.5436	-0.0397818
6.24807	-20.5418	-0.0397987
6.24807	-20.5399	-0.0398157
6.24807	-20.5381	-0.0398327
6.24807	-20.5363	-0.0398497
6.24807	-20.5344	-0.0398667
6.24807	-20.5326	-0.0398838
6.24807	-20.5307	-0.0399008
6.24807	-20.5289	-0.0399179
6.24807	-20.5271	-0.0399349
6.24807	-20.5252	-0.039952
6.24807	-20.5234	-0.0399691
