 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 10/28/2021 11:22:07
File Marker Date: 10/27/2021 16:23:57
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
O_coupler = 12.0
Box_w = 250.0
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S21],ANG[S21],DB[S22],ANG[S22]
5.000000000000000,-43.62687940993,-94.77048577799,-1.884107988e-4,-4.489882848271,-1.884107988e-4,-4.489882848271,-43.62687940993,-94.20927991855
5.000100000000001,-43.62662231507,-94.77058643167,-1.884224786e-4,-4.489976259638,-1.884224786e-4,-4.489976259638,-43.62662171744,-94.20936827703
5.000200000000000,-43.62636462603,-94.77068683687,-1.884347287e-4,-4.490069680440,-1.884347287e-4,-4.490069680440,-43.62636402754,-94.20945683656
5.000300000000000,-43.62610690229,-94.77078724457,-1.884469814e-4,-4.490163103095,-1.884469814e-4,-4.490163103095,-43.62610630293,-94.20954539826
5.000400000000000,-43.62584914379,-94.77088765476,-1.884592369e-4,-4.490256527605,-1.884592369e-4,-4.490256527605,-43.62584854357,-94.20963396211
5.000500000000001,-43.62559135053,-94.77098806745,-1.884714951e-4,-4.490349953971,-1.884714951e-4,-4.490349953971,-43.62559074944,-94.20972252814
5.000600000000000,-43.62533352248,-94.77108848264,-1.884837560e-4,-4.490443382193,-1.884837560e-4,-4.490443382193,-43.62533292053,-94.20981109633
5.000700000000000,-43.62507565960,-94.77118890034,-1.884960196e-4,-4.490536812274,-1.884960196e-4,-4.490536812274,-43.62507505679,-94.20989966669
5.000800000000000,-43.62481776188,-94.77128932053,-1.885082859e-4,-4.490630244215,-1.885082859e-4,-4.490630244215,-43.62481715820,-94.20998823921
5.000900000000001,-43.62455982928,-94.77138974324,-1.885205549e-4,-4.490723678017,-1.885205549e-4,-4.490723678017,-43.62455922474,-94.21007681391
5.001000000000000,-43.62430186178,-94.77149016845,-1.885328267e-4,-4.490817113681,-1.885328267e-4,-4.490817113681,-43.62430125638,-94.21016539078
5.001100000000000,-43.62404385936,-94.77159059618,-1.885451011e-4,-4.490910551208,-1.885451011e-4,-4.490910551208,-43.62404325310,-94.21025396982
5.001200000000000,-43.62378582198,-94.77169102642,-1.885573783e-4,-4.491003990601,-1.885573783e-4,-4.491003990601,-43.62378521486,-94.21034255104
